group_id,decision,canonical_name,note
03_c_e_eau_embouteill_en_gazeuse_lestins_min_min_rale_raux_riche_saint_sels_vichy_yorre__unspecified,merge,,"default: cross-source nutrient spread outside tolerance; aggregate_group.sanity_ok + MIN_SOURCES_PER_NUTRIENT=2 already bound the output, single-source-only groups silently drop rather than corrupt"
07_aizac_aizac_e_e_eau_embouteill_faiblement_gazeuse_min_min_rale_ralis__unspecified,merge,,"default: cross-source nutrient spread outside tolerance; aggregate_group.sanity_ok + MIN_SOURCES_PER_NUTRIENT=2 already bound the output, single-source-only groups silently drop rather than corrupt"
07_arcens_arcens_e_e_eau_embouteill_gazeuse_min_min_moyennement_rale_ralis__unspecified,merge,,"default: cross-source nutrient spread outside tolerance; aggregate_group.sanity_ok + MIN_SOURCES_PER_NUTRIENT=2 already bound the output, single-source-only groups silently drop rather than corrupt"
0_0_5_a_d_f_fat_flavoured_fortified_free_m_made_milk_vanilla_vitamin_yogourt_yogurt__unspecified,merge,,"default: cross-source nutrient spread outside tolerance; aggregate_group.sanity_ok + MIN_SOURCES_PER_NUTRIENT=2 already bound the output, single-source-only groups silently drop rather than corrupt"
0_0_5_artificially_d_f_fat_flavoured_free_fruit_m_sweetened_vitamin_yogourt_yogurt__unspecified,merge,,"default: cross-source nutrient spread outside tolerance; aggregate_group.sanity_ok + MIN_SOURCES_PER_NUTRIENT=2 already bound the output, single-source-only groups silently drop rather than corrupt"
0_0_5_f_fat_flavoured_free_fruit_greek_m_style_yogourt_yogurt__unspecified,merge,,"default: cross-source nutrient spread outside tolerance; aggregate_group.sanity_ok + MIN_SOURCES_PER_NUTRIENT=2 already bound the output, single-source-only groups silently drop rather than corrupt"
0_0_5_f_fat_free_m_plain_yogourt_yogurt__unspecified,merge,,"default: cross-source nutrient spread outside tolerance; aggregate_group.sanity_ok + MIN_SOURCES_PER_NUTRIENT=2 already bound the output, single-source-only groups silently drop rather than corrupt"
0_0mm_beef_blade_boneless_chuck_fat_lean_steak_trim__raw,merge,,"default: cross-source nutrient spread outside tolerance; aggregate_group.sanity_ok + MIN_SOURCES_PER_NUTRIENT=2 already bound the output, single-source-only groups silently drop rather than corrupt"
0_0mm_beef_boneless_bottom_broiled_fat_lean_loin_sirloin_steak_tip_tri_trim__cooked,merge,,"default: cross-source nutrient spread outside tolerance; aggregate_group.sanity_ok + MIN_SOURCES_PER_NUTRIENT=2 already bound the output, single-source-only groups silently drop rather than corrupt"
0_0mm_beef_boneless_bottom_fat_hip_lean_outside_roast_round_trim__cooked,merge,,"default: cross-source nutrient spread outside tolerance; aggregate_group.sanity_ok + MIN_SOURCES_PER_NUTRIENT=2 already bound the output, single-source-only groups silently drop rather than corrupt"
0_0mm_beef_boneless_bottom_fat_hip_lean_outside_roast_round_trim__raw,merge,,"default: cross-source nutrient spread outside tolerance; aggregate_group.sanity_ok + MIN_SOURCES_PER_NUTRIENT=2 already bound the output, single-source-only groups silently drop rather than corrupt"
0_0mm_beef_boneless_bottom_fat_lean_loin_roast_sirloin_tip_tri_trim__raw,merge,,"default: cross-source nutrient spread outside tolerance; aggregate_group.sanity_ok + MIN_SOURCES_PER_NUTRIENT=2 already bound the output, single-source-only groups silently drop rather than corrupt"
0_0mm_beef_boneless_broiled_fat_lean_loin_loin_new_steak_strip_trim_york__cooked,merge,,"default: cross-source nutrient spread outside tolerance; aggregate_group.sanity_ok + MIN_SOURCES_PER_NUTRIENT=2 already bound the output, single-source-only groups silently drop rather than corrupt"
0_0mm_beef_boneless_chuck_cross_fat_lean_rib_roast_trim__cooked,merge,,"default: cross-source nutrient spread outside tolerance; aggregate_group.sanity_ok + MIN_SOURCES_PER_NUTRIENT=2 already bound the output, single-source-only groups silently drop rather than corrupt"
0_0mm_beef_boneless_chuck_cross_fat_lean_rib_roast_trim__raw,merge,,"default: cross-source nutrient spread outside tolerance; aggregate_group.sanity_ok + MIN_SOURCES_PER_NUTRIENT=2 already bound the output, single-source-only groups silently drop rather than corrupt"
0_0mm_beef_boneless_eye_fat_hip_lean_round_steak_trim__cooked,merge,,"default: cross-source nutrient spread outside tolerance; aggregate_group.sanity_ok + MIN_SOURCES_PER_NUTRIENT=2 already bound the output, single-source-only groups silently drop rather than corrupt"
0_0mm_beef_boneless_eye_fat_hip_lean_round_steak_trim__raw,merge,,"default: cross-source nutrient spread outside tolerance; aggregate_group.sanity_ok + MIN_SOURCES_PER_NUTRIENT=2 already bound the output, single-source-only groups silently drop rather than corrupt"
0_0mm_beef_boneless_fat_hip_inside_lean_roast_round_top_trim__cooked,merge,,"default: cross-source nutrient spread outside tolerance; aggregate_group.sanity_ok + MIN_SOURCES_PER_NUTRIENT=2 already bound the output, single-source-only groups silently drop rather than corrupt"
0_0mm_beef_boneless_fat_hip_inside_lean_roast_round_top_trim__raw,merge,,"default: cross-source nutrient spread outside tolerance; aggregate_group.sanity_ok + MIN_SOURCES_PER_NUTRIENT=2 already bound the output, single-source-only groups silently drop rather than corrupt"
0_0mm_beef_boneless_fat_hip_lean_sirloin_steak_tip_trim__raw,merge,,"default: cross-source nutrient spread outside tolerance; aggregate_group.sanity_ok + MIN_SOURCES_PER_NUTRIENT=2 already bound the output, single-source-only groups silently drop rather than corrupt"
0_0mm_beef_boneless_fat_lean_loin_loin_new_steak_strip_trim_york__raw,merge,,"default: cross-source nutrient spread outside tolerance; aggregate_group.sanity_ok + MIN_SOURCES_PER_NUTRIENT=2 already bound the output, single-source-only groups silently drop rather than corrupt"
0_0mm_beef_brisket_fat_lean_trim__cooked,merge,,"default: cross-source nutrient spread outside tolerance; aggregate_group.sanity_ok + MIN_SOURCES_PER_NUTRIENT=2 already bound the output, single-source-only groups silently drop rather than corrupt"
0_0mm_beef_brisket_lean_trim__raw,merge,,"default: cross-source nutrient spread outside tolerance; aggregate_group.sanity_ok + MIN_SOURCES_PER_NUTRIENT=2 already bound the output, single-source-only groups silently drop rather than corrupt"
0_0mm_beef_fat_lean_loin_roast_tenderloin_trim__raw,merge,,"default: cross-source nutrient spread outside tolerance; aggregate_group.sanity_ok + MIN_SOURCES_PER_NUTRIENT=2 already bound the output, single-source-only groups silently drop rather than corrupt"
